Date,Open,High,Low,Close,Adj Close,Volume,Moving Average,Daily Return MSFT,Trends
2022-01-12,319.6700134277344,323.4100036621094,317.0799865722656,318.2699890136719,312.5441589355469,34372200,0.0,0.0,low
2022-01-13,320.4700012207031,320.8800048828125,304.0,304.79998779296875,299.31646728515625,45366000,0.0,-13.470001220703125,negative
2022-01-14,304.25,310.82000732421875,303.75,310.20001220703125,304.61932373046875,39846400,0.0,5.4000244140625,high
2022-01-18,304.07000732421875,309.79998779296875,301.739990234375,302.6499938964844,297.2051696777344,42333200,0.0,-7.550018310546875,negative
2022-01-19,306.2900085449219,313.9100036621094,302.70001220703125,303.3299865722656,297.8729553222656,45933900,307.84999389648436,0.67999267578125,low
2022-01-20,309.07000732421875,311.6499938964844,301.1400146484375,301.6000061035156,296.17401123046875,35380700,304.5159973144531,-1.72998046875,negative
2022-01-21,302.69000244140625,304.1099853515625,295.6099853515625,296.0299987792969,290.7042541503906,57984400,302.7619995117187,-5.57000732421875,negative
2022-01-24,292.20001220703125,297.1099853515625,276.04998779296875,296.3699951171875,291.0381164550781,85731500,299.99599609375,0.339996337890625,low
2022-01-25,291.5199890136719,294.989990234375,285.1700134277344,288.489990234375,283.2999267578125,72848600,297.16399536132815,-7.8800048828125,negative
2022-01-26,307.989990234375,308.5,293.0299987792969,296.7099914550781,291.3720397949219,90428900,295.8399963378906,8.220001220703125,high
2022-01-27,302.6600036621094,307.29998779296875,297.92999267578125,299.8399963378906,294.4456787109375,53481300,295.4879943847656,3.1300048828125,moderate
2022-01-28,300.2300109863281,308.4800109863281,294.45001220703125,308.260009765625,302.7142333984375,49743700,297.9339965820312,8.420013427734375,high
2022-01-31,308.95001220703125,312.3800048828125,306.3699951171875,310.9800109863281,305.3852844238281,46444500,300.8559997558594,2.720001220703125,low
2022-02-01,310.4100036621094,310.6300048828125,305.1300048828125,308.760009765625,303.2052307128906,40950400,304.9100036621094,-2.220001220703125,negative
2022-02-02,309.6300048828125,315.1199951171875,308.8800048828125,313.4599914550781,307.8206481933594,36636000,308.2600036621094,4.699981689453125,moderate
2022-02-03,309.489990234375,311.2300109863281,299.9599914550781,301.25,295.8303527832031,43730000,308.54200439453126,-12.209991455078125,negative
2022-02-04,300.2099914550781,308.79998779296875,299.9700012207031,305.94000244140625,300.4359436035156,35096500,308.0780029296875,4.69000244140625,moderate
2022-02-07,306.1700134277344,307.8399963378906,299.8999938964844,300.95001220703125,295.5357360839844,28533300,306.07200317382814,-4.989990234375,negative
2022-02-08,301.25,305.55999755859375,299.95001220703125,304.55999755859375,299.080810546875,32421200,305.23200073242185,3.6099853515625,moderate
2022-02-09,309.8699951171875,311.92999267578125,307.3900146484375,311.2099914550781,305.61114501953125,31284700,304.78200073242186,6.649993896484375,high
2022-02-10,304.0400085449219,309.1199951171875,300.70001220703125,302.3800048828125,296.9400329589844,45386200,305.00800170898435,-8.829986572265625,negative
2022-02-11,303.19000244140625,304.2900085449219,294.2200012207031,295.0400085449219,289.7320861816406,39175600,302.8280029296875,-7.339996337890625,negative
2022-02-14,293.7699890136719,296.760009765625,291.3500061035156,295.0,289.69281005859375,36359500,301.63800048828125,-0.040008544921875,negative
2022-02-15,300.010009765625,300.79998779296875,297.0199890136719,300.4700012207031,295.0644226074219,27058300,300.82000122070315,5.470001220703125,high
2022-02-16,298.3699951171875,300.8699951171875,293.67999267578125,299.5,294.7200012207031,29982100,298.4780029296875,-0.970001220703125,negative
2022-02-17,296.3599853515625,296.79998779296875,290.0,290.7300109863281,286.0899353027344,32461600,296.14800415039065,-8.769989013671875,negative
