Date,Open,High,Low,Close,Adj Close,Volume,Moving Average,Daily Return AAPL,Trends
2022-01-12,176.1199951171875,177.17999267578125,174.82000732421875,175.52999877929688,173.54710388183594,74805200,0.0,0.0,low
2022-01-13,175.77999877929688,176.6199951171875,171.7899932861328,172.19000244140625,170.24484252929688,84505800,0.0,-3.339996337890625,negative
2022-01-14,171.33999633789062,173.77999877929688,171.08999633789062,173.07000732421875,171.11488342285156,80440800,0.0,0.8800048828125,low
2022-01-18,171.50999450683594,172.5399932861328,169.41000366210938,169.8000030517578,167.8818359375,90956700,0.0,-3.2700042724609375,negative
2022-01-19,170.0,171.0800018310547,165.94000244140625,166.22999572753906,164.35215759277344,94815000,171.36400146484374,-3.57000732421875,negative
2022-01-20,166.97999572753906,169.67999267578125,164.17999267578125,164.50999450683594,162.651611328125,91420500,169.16000061035157,-1.720001220703125,negative
2022-01-21,164.4199981689453,166.3300018310547,162.3000030517578,162.41000366210938,160.5753173828125,122848900,167.2040008544922,-2.0999908447265625,negative
2022-01-24,160.02000427246094,162.3000030517578,154.6999969482422,161.6199951171875,159.79421997070312,162294600,164.91399841308595,-0.790008544921875,negative
2022-01-25,158.97999572753906,162.75999450683594,157.02000427246094,159.77999877929688,157.97499084472656,115798400,162.90999755859374,-1.839996337890625,negative
2022-01-26,163.5,164.38999938964844,157.82000732421875,159.69000244140625,157.88604736328125,108275300,161.60199890136718,-0.089996337890625,negative
2022-01-27,162.4499969482422,163.83999633789062,158.27999877929688,159.22000122070312,157.4213409423828,121954600,160.54400024414062,-0.470001220703125,negative
2022-01-28,165.7100067138672,170.35000610351562,162.8000030517578,170.3300018310547,168.4058380126953,179935700,162.12799987792968,11.110000610351562,high
2022-01-31,170.16000366210938,175.0,169.50999450683594,174.77999877929688,172.80557250976562,115541600,164.76000061035157,4.4499969482421875,moderate
2022-02-01,174.00999450683594,174.83999633789062,172.30999755859375,174.61000061035156,172.63748168945312,86213900,167.7260009765625,-0.1699981689453125,negative
